6,formal definition of Mammalia is simple as far
4,the living mammals are concerned, because of
4,large number of unique characters they possess.
9,the fossil record makes the situation a
4,deal less clear-cut. The first part of this book
4,about the extraordinarily good fossil record of
8,that were, to varying degrees, intermediate
9,grade between the modern mammals and the
1,common ancestor between them and their
6,sister group. They are known informally as
6,‘mammal-like reptiles’, and more formally as
8,non-mammalian Synapsida. By definition, a
1,reptile possesses some, but not all the
8,that define living mammals. A semantic
8,arises about defining a mammal because
4,decision has to be taken on which, if any of the
8,reptiles should be included. The earliest, most primitive ones have very few mammalian characters, just a small temporal fenestra in
1,skull and an enlarged canine tooth in the jaw. In
8,there are later forms that possess almost
1,the modern mammalian skeletal characters,
0,only a few of the postcranial skeleton ones
0,a scapula spine, and fine details of the ankle
0,If the definition of a mammal is based
4,upon possession of all the characters of
8,mammals, then some fossil forms that are
1,mammalian in anatomy, and by inference in their general biology, are excluded. If,
1,the other hand, a mammal is defined as an
4,that possesses any of the modern mammal
8,then some extremely non-mammalian
1,primitive, sprawling-limbed, and no doubt
8,ectothermic creatures must be included. If a
8,is sought by using certain selected living
9,characters as the basis of the definition, then
6,becomes an arbitrary decision as to exactly which
8,are to be given defining status.
0,rather a lot of fruitless discussion during
8,last half-century about this issue generally, two
4,approaches emerged. Developing one of
1,Hennig’s (1966) proposals in his original prescription for cladistics, Jefferies (1979) and Ax
8,proposed distinguishing a ‘crown’ group for
0,living members of a taxon from a ‘stem’ group
1,all the more basal fossil forms possessing some
9,not all the characters of the crown group. Rowe
1,1993) adopted this solution and formally
1,the taxon Mammalia as those organisms
1,or presumed to have possessed, all the
4,of living mammals. All those fossil
4,that possess at least one, but less than all of
4,characters of living mammals can be referred
6,as stem-group Mammalia, a paraphyletic, but
8,recognisable taxon.
4,of both technology and fashion in
9,have since overtaken the simple concept of crown versus stem groups based respectively on all, or less than all the defining characters
4,2000). The ability of computer programs
6,as PAUP to handle vastly more amounts
8,information has led to computer-generated
4,involving large numbers of taxa and
1,Even in the maximally parsimonious
4,many of the characters are inevitably
8,occurring independently in different
1,Therefore, it is impossible to read from the
4,simple lists of characters that define the
8,contained groups. How much more so is
4,true of phylogenetic trees based on molecular
4,data, which can involve computation of
8,thousand nucleotides? The formal creation
4,taxon definitions has therefore shifted from definitions based on lists of characters, to labelling
9,in the cladogram: a taxon is defined as the
9,that includes the common ancestor of subgroups X and Y. The evidence for the existence of
1,clade so defined is that it occurs in the bestsupported cladogram. In this rarified sense,
9,is the clade that includes the common
4,of monotremes, marsupials, and placentals.
8,shift in fashion that has simultaneously affected
0,naming of groups, whether character- or nodebased, is a reluctance to accept the vagueness of
6,stem groups, but as far as reasonable
8,name every monophyletic group in it. Thus
1,(1988, 1993) introduced the formal names
4,and Mammaliaformes at two of
1,nodes on the stem lineage below Mammalia, and
8,more above it, Theriomorpha, Theriiformes,
9,the node Theria that represents the common
4,of marsupials and placentals.
8,altogether different perspective on defining
8,is based on traditional palaeobiological
6,(e.g. Simpson 1960; Kemp 1982). An arbitrary decision is made about which characters to
6,as defining characters, and therefore which
1,node on the stem lineage to label
8,Characters deemed appropriate are
9,reflecting the evolution of the fundamental
4,biology. The essence of mammalian life
8,to be found in their endothermic temperature
4,greatly enlarged brain, dentition capable of chewing food, highly agile, energetic locomotion, and so on. The organisms that achieved
4,grade of overall organisation are deemed to be
1,and consequently those characters that
9,possess are the defining characters of the
3,In this view, missing an odd few refinements such as, free ear ossicles or the details of the
8,joint is insufficient justification for denying
9,status to a fossil that is otherwise mammalian in structure. Around the end of the Triassic
0,about 205 Ma, a number of fossils are found
1,very small animals that have the great majority
4,the skeletal characters of modern mammals. The
0,is enlarged and the postcranial skeleton differs from that of a modern mammal only in a few
1,details. Their novel feature is the jaw mechanism. The dentition is fully differentiated with
8,THE ORIGIN AND EVOLUTION OF MAMMALS
8,occluding molar teeth that functioned
4,the unique manner of basic living mammals, and
1,is a new jaw hinge between the dentary bone
9,the lower jaw and the squamosal of the skull that
8,a much stronger bite. Such animals were
1,mammalian in the biological sense
4,not strictly members of the crown-group
4,The most primitive of these forms is
1,Sinoconodon, and most palaeobiologists believe
4,they should formally be members of the clade
1,Mammalia (e.g. Crompton and Sun
8,Kielan-Jaworowska et al. 2004). The definition
8,Mammalia thus becomes: synapsids that possess
1,dentary-squamosal jaw articulation and occlusion
1,lower and upper molars with a transverse
9,to the movement. This has exactly the
9,membership as the clade that includes the
4,ancestor of Sinoconodon, living mammals,
8,all its descendants.
0,is the concept of a mammal that is used in
1,chapters that follow, in the belief that conceding
0,degree of subjectivity in the choice of what is a
1,is a small price to pay for allowing the
9,of the work to be on the origin and evolution
6,the quality of ‘mammalness’ just as much as on
4,origin and evolution of the taxon Mammalia.
4,sketch of the plot
4,story of the origin and evolution of mammals
1,told by the fossil record falls into three distinct
9,the first of which led to the origin of mammals as such. The lineage of amniotes that culminated in the mammals made its first appearance in
4,fossil record of the Pennsylvanian (Upper
8,about 305 Ma. The best-known
8,from this time is Archaeothyris, which existed
9,soon after the initial appearance of the terrestrially adapted amniote animals. From a hypothetical ancestor comparable to Archaeothyris, the
4,of mammal-like reptiles commenced and
1,the succeeding 100 Ma. Taxa appeared,
0,and went extinct in a complex kaleidoscopic pattern of successive groups of small-,
2,and large-sized carnivores and herbivorous groups, which over time exhibited increasing
4,of mammalian characters superimposed
1,their particular specialisations. In the latest
4,Period, 210 Ma, one particular lineage of
1,carnivores culminated in the first mammal.
4,second phase of the unfolding story consists
6,what are referred to as the Mesozoic mammals.
1,were the numerous subgroups that radiated
9,the mammalian ancestor during the 140 Ma
9,of the Jurassic and Cretaceous Periods, the
1,during which the world’s terrestrial fauna was
4,by the dinosaurs. A good deal of evolution, especially dental evolution occurred, but none
1,them ever evolved the medium or large body
4,found in so many modern mammals. For twothirds of the whole of their history, mammals
1,small animals with the largest being
9,larger than a cat, and the vast majority of the
4,of living shrews, mice, and rats. With hindsight, the most important evolutionary event was
4,origin of the modern mammalian kind of molar
1,known as the tribosphenic tooth, and with it
4,roots of the two major modern taxa, marsupials
8,placentals.
1,million years ago, the mass extinction
9,the close of the Mesozoic Era saw the end
9,the dinosaurs along with the extinction or severe
0,of many other taxa. Several mammal lineages survived this event, and within a mere 2–3 Ma
0,radiated explosively to produce a plethora of
9,small forms but also, for the first time, mammals of middle to large body size. This was the
4,of the great Tertiary radiation of
8,and, to a lesser but equally interesting
8,marsupial mammals during which many
1,often quite bizarre kinds evolved, flourished, and disappeared. The Tertiary world has
0,a period of dramatic biogeographical and climatic change, against which is set this extraordinary
9,pageant. The old, single supercontinent of Pangaea occupied by the mammal-like reptiles had long since broken into Laurasia in the
9,and Gondwana in the south, and by the early
8,Gondwana itself was breaking up. Africa
2,India for a short while, and South America and
4,for most of the era were island continents
7,extremely limited biotic contact with each
1,and with the northern land masses. Even
4,the Laurasian continents of North America,
2,and Asia, interconnections formed and
6,from time to time as land masses shifted, sea
8,3
1,varied, and ice ages alternated with warm
4,Thus, for much of the Tertiary, independent
4,radiations of mammals were occurring
7,in different areas, with secondary
8,between hitherto isolated faunas adding
4,patterns of dispersal and competition. As
1,passed the mammalian fauna contained more
4,more of the familiar groups of today. The final
